;TimeZoneCode;DisplayName;Delta;Group;Type;Order
;NIT;Norfolk Island Time;1112;NIT,1;Base
;NZT;New Zealand Time;1200;NZT,1;Base
;NZT/S;New Zealand Summer Time;1300;NZT,2;Summer
;OZT;Old New Zealand Time;1130;NZT,3;Base
;OZT/S;Old New Zealand Summer Time;1230;NZT,4;Summer
;Z12;Russian Zone 12 Time;1200;Z12,1;Base
;Z12/S;Russian Zone 12 Summer Time;1300;Z12,2;Summer
;TGT;Tonga Time;1220;TGT,1;Base
;Z13;Russian Zone 13 Time;1300;Z13,1;Base
;Z13/S;Russian Zone 13 Summer Time;1400;Z13,2;Summer
